trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.33, 'e': 0.03421811831166603}",25,0,37.84851588362177,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.33, 'e': 0.033373269960326066}",20,0,32.80912711226326,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.33, 'e': 0.03254928098910342}",35,18,29.241538576168026,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.33, 'e': 0.03174563637806794}",20,7,6.123214353941863,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.33, 'e': 0.030961833823176882}",25,3,21.128158883666263,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.33, 'e': 0.0301973834223185}",20,7,11.825173811717349,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.33, 'e': 0.02945180736910728}",20,7,23.733703411030447,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.33, 'e': 0.028724639654239423}",25,18,4.086278096961847,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.33, 'e': 0.028015425774221808}",25,7,33.64034852220041,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.33, 'e': 0.02732372244729256}",20,7,10.784543062473611,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.33, 'e': 0.026649097336355485}",30,7,33.553535379897404,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.33, 'e': 0.025991128778755333}",35,10,41.82999049535044,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.33, 'e': 0.02534940552272493}",20,5,15.951937614342482,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.33, 'e': 0.024723526470339388}",30,11,33.845593202744666,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.33, 'e': 0.024113100426816865}",30,9,39.36643262832876,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.33, 'e': 0.023517745856009107}",20,11,13.6053081918619,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.33, 'e': 0.02293709064192892}",20,9,7.199931636564963,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.33, 'e': 0.02237077185616559}",25,8,28.839396341519418,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
